kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,64,128,8,8,,,0.001451653999993141,0.00493621826171875
2,64,128,16,16,,,0.002512776000003214,0.0013141632080078125
2,64,128,32,32,,,0.007608948999973109,0.0003376007080078125
2,64,128,64,64,,,0.027309894999973494,8.922815322875977e-05
2,64,128,128,128,,,0.11156744600003776,2.008676528930664e-05
2,128,4,4,4,,,0.0013249900000005255,0.0028171539306640625
2,128,4,8,8,,,0.0012375839999663185,0.0006937980651855469
2,128,4,16,16,,,0.0018109090000280048,0.0002465248107910156
2,128,4,32,32,,,0.002111868999975286,3.6716461181640625e-05
2,128,4,64,64,,,0.0032198580000226684,1.8537044525146484e-05
2,128,4,128,128,,,0.007062868999980765,3.7550926208496094e-06
2,128,8,4,4,,,0.0012093180000078974,0.005619049072265625
2,128,8,8,8,,,0.0011895170000002508,0.0009641647338867188
2,128,8,16,16,,,0.0019038529999875209,0.0004642009735107422
2,128,8,32,32,,,0.002601121999987299,8.666515350341797e-05
2,128,8,64,64,,,0.004759566000018367,2.0563602447509766e-05
2,128,8,128,128,,,0.014340930999992452,4.112720489501953e-06
2,128,16,4,4,,,0.001222509000001537,0.006549835205078125
2,128,16,8,8,,,0.0017822849999902246,0.0012426376342773438
2,128,16,16,16,,,0.0021286429999918255,0.00044918060302734375
2,128,16,32,32,,,0.003322184000012385,9.584426879882812e-05
2,128,16,64,64,,,0.0077241319999643565,2.3603439331054688e-05
2,128,16,128,128,,,0.02786266200001819,5.602836608886719e-06
2,128,32,4,4,,,0.0012246599999912178,0.006900787353515625
2,128,32,8,8,,,0.0018940919999863581,0.0019369125366210938
2,128,32,16,16,,,0.0025382179999837717,0.0004343986511230469
2,128,32,32,32,,,0.004831439999975373,0.00013303756713867188
2,128,32,64,64,,,0.015279543000019657,3.11732292175293e-05
2,128,32,128,128,,,0.05689467499996681,7.092952728271484e-06
2,128,64,4,4,,,0.0018095359999961147,0.00778961181640625
2,128,64,8,8,,,0.0021076770000263423,0.002288818359375
2,128,64,16,16,,,0.003270426000028692,0.0005292892456054688
2,128,64,32,32,,,0.007790198999998665,0.00011640787124633789
2,128,64,64,64,,,0.028279531999999108,3.612041473388672e-05
2,128,64,128,128,,,0.11306354499998861,7.271766662597656e-06
2,128,128,4,4,,,0.0019203159999960917,0.0133056640625
2,128,128,8,8,,,0.002541289000021152,0.002414703369140625
2,128,128,16,16,,,0.004769522999993114,0.0006237030029296875
2,128,128,32,32,,,0.015095706000010978,0.0001819133758544922
2,128,128,64,64,,,0.0548109100000147,3.8683414459228516e-05
2,128,128,128,128,,,0.22244553600000927,9.298324584960938e-06
