kernel_radius, b  , c  , h  , w  , luca_fn_sec       , luca_fn_value         , max_fn_sec         , max_fn_value
            2,  32,   8, 128, 128, 0.0038994089999846, 1.9073486328125e-06   ,  0.2244223929992586, 1.9073486328125e-06
            2,  32,  16,   4,   4, 0.0008014539999976, 0.0019683837890625    ,  0.7668323470024916, 0.0045204162597656
            2,  32,  16,   8,   8, 0.0008215249999921, 0.0004713535308837    ,  0.7490253999967535, 0.000711441040039
            2,  32,  16,  16,  16, 0.0008116100000279, 0.0001232624053955    ,  0.7690376760001527, 0.0001382827758789
            2,  32,  16,  32,  32, 0.0010727149999638, 3.0517578125e-05      ,  0.7488375879984233, 3.36766242980957e-05
            2,  32,  16,  64,  64, 0.0022408660000223, 7.748603820800781e-06 ,  0.7494423960015411, 7.867813110351562e-06
            2,  32,  16, 128, 128, 0.0072977929999638, 1.9073486328125e-06   ,  0.8209573849999288, 1.9073486328125e-06
            2,  32,  32,   4,   4, 0.0007992409999815, 0.0019569396972656    ,  2.9308611980013666, 0.0046195983886718
            2,  32,  32,   8,   8, 0.0008091139999919, 0.0004968643188476    ,  2.964953006998257 , 0.0006947517395019
            2,  32,  32,  16,  16, 0.0008388930000364, 0.0001229047775268    ,  2.969196029000159 , 0.000145673751831
            2,  32,  32,  32,  32, 0.0014620110000009, 2.956390380859375e-05 ,  2.9818742360002943, 3.266334533691406e-05
            2,  32,  32,  64,  64, 0.0040579509999929, 7.808208465576172e-06 ,  2.9407846850008355, 8.106231689453125e-06
            2,  32,  32, 128, 128, 0.0143983769999636, 1.96695327758789e-06  ,  3.295277661       , 1.96695327758789e-06
            2,  32,  64,   4,   4, 0.0008064149999995, 0.0019474029541015    , 11.60484418499982  , 0.0047149658203125
            2,  32,  64,   8,   8, 0.0007843810000167, 0.0004866123199462    , 11.823089843001071 , 0.0007071495056152
            2,  32,  64,  16,  16, 0.0010537999999655, 0.0001213550567626    , 14.007243267999002 , 0.0001436471939086
            2,  32,  64,  32,  32, 0.0021979119999855, 3.0875205993652344e-05, 11.940424205000454 , 3.2842159271240234e-05
            2,  32,  64,  64,  64, 0.0072876250000035, 7.68899917602539e-06  , 11.558729360000145 , 7.987022399902344e-06
            2,  32,  64, 128, 128, 0.028228222999985 , 1.9073486328125e-06   , 12.67011526299757  , 1.96695327758789e-06
            2,  32, 128,   4,   4, 0.0008290830000419, 0.0019550323486328    , 44.75375444699967  , 0.0047073364257812
            2,  32, 128,   8,   8, 0.0008679569999685, 0.0004880428314208    , 46.06017167800019  , 0.0007038116455078
            2,  32, 128,  16,  16, 0.0014701029999741, 0.0001220703125       , 46.25900980699953  , 0.0001440048217773
            2,  32, 128,  32,  32, 0.0040126069999928, 3.027915954589844e-05 , 45.60474613299812  , 3.3020973205566406e-05
            2,  32, 128,  64,  64, 0.014056910000022 , 7.569789886474609e-06 , 51.35214832799829  , 7.987022399902344e-06
            2,  32, 128, 128, 128, 0.0559623259999852, 1.9073486328125e-06   , 54.88129338399813  , 1.96695327758789e-06
            2,  64,   4,   4,   4, 0.0009929409999926, 0.0010128021240234    ,  0.0773259300003701, 0.0027027130126953
            2,  64,   4,   8,   8, 0.0009585249999872, 0.0002281665802001    ,  0.0779817840011674, 0.0002975463867187
            2,  64,   4,  16,  16, 0.0010620910000511, 5.882978439331055e-05 ,  0.0805553099999087, 8.612871170043945e-05
            2,  64,   4,  32,  32, 0.0013048000000139, 1.4424324035644531e-05,  0.0758344489986484, 1.3947486877441406e-05
            2,  64,   4,  64,  64, 0.0018143190000046, 3.874301910400391e-06 ,  0.0651135530024475, 3.814697265625e-06
            2,  64,   4, 128, 128, 0.0038130020000153, 1.132488250732422e-06 ,  0.0751385350013151, 9.5367431640625e-07
            2,  64,   8,   4,   4, 0.0009591379999847, 0.000892162322998     ,  0.2593334129996947, 0.0025653839111328
            2,  64,   8,   8,   8, 0.0009683380000069, 0.0002397298812866    ,  0.2261860899998282, 0.0003726482391357
            2,  64,   8,  16,  16, 0.0011148849999926, 6.091594696044922e-05 ,  0.2539097150001907, 6.67572021484375e-05
